年QTR	地域名	指標	Steam	Glass	マルチバスケット	その他
2021 Q1	North America	販売数量（千台）	64	18	77	604
2021 Q1	North America	販売金額（百万円）	1766	455	2391	10419
2021 Q1	Europe	販売数量（千台）	49	14	78	523
2021 Q1	Europe	販売金額（百万円）	1270	333	2274	8473
2021 Q1	China	販売数量（千台）	128	40	65	615
2021 Q1	China	販売金額（百万円）	2519	722	1439	7564
2021 Q1	APAC ex-China	販売数量（千台）	26	12	32	394
2021 Q1	APAC ex-China	販売金額（百万円）	574	243	795	5437
2021 Q2	North America	販売数量（千台）	73	18	87	629
2021 Q2	North America	販売金額（百万円）	2021	457	2709	10891
2021 Q2	Europe	販売数量（千台）	54	15	92	551
2021 Q2	Europe	販売金額（百万円）	1404	357	2691	8959
2021 Q2	China	販売数量（千台）	145	52	86	655
2021 Q2	China	販売金額（百万円）	2862	941	1910	8087
2021 Q2	APAC ex-China	販売数量（千台）	31	19	40	415
2021 Q2	APAC ex-China	販売金額（百万円）	686	386	997	5748
2021 Q3	North America	販売数量（千台）	80	25	101	650
2021 Q3	North America	販売金額（百万円）	2221	636	3154	11296
2021 Q3	Europe	販売数量（千台）	59	23	99	575
2021 Q3	Europe	販売金額（百万円）	1538	550	2904	9385
2021 Q3	China	販売数量（千台）	157	66	89	664
2021 Q3	China	販売金額（百万円）	3108	1198	1982	8228
2021 Q3	APAC ex-China	販売数量（千台）	38	22	44	438
2021 Q3	APAC ex-China	販売金額（百万円）	844	448	1099	6090
2021 Q4	North America	販売数量（千台）	98	41	125	755
2021 Q4	North America	販売金額（百万円）	2729	1046	3916	13170
2021 Q4	Europe	販売数量（千台）	73	30	124	647
2021 Q4	Europe	販売金額（百万円）	1909	719	3648	10599
2021 Q4	China	販売数量（千台）	197	79	122	754
2021 Q4	China	販売金額（百万円）	3911	1438	2725	9378
2021 Q4	APAC ex-China	販売数量（千台）	51	25	60	503
2021 Q4	APAC ex-China	販売金額（百万円）	1136	510	1504	7019
2022 Q1	North America	販売数量（千台）	80	31	108	572
2022 Q1	North America	販売金額（百万円）	2234	794	3393	10015
2022 Q1	Europe	販売数量（千台）	64	23	102	511
2022 Q1	Europe	販売金額（百万円）	1678	553	3009	8402
2022 Q1	China	販売数量（千台）	169	70	98	590
2022 Q1	China	販売金額（百万円）	3365	1278	2195	7366
2022 Q1	APAC ex-China	販売数量（千台）	44	24	47	385
2022 Q1	APAC ex-China	販売金額（百万円）	983	491	1181	5393
2022 Q2	North America	販売数量（千台）	94	38	119	603
2022 Q2	North America	販売金額（百万円）	2633	976	3750	10597
2022 Q2	Europe	販売数量（千台）	75	32	115	519
2022 Q2	Europe	販売金額（百万円）	1973	772	3403	8566
2022 Q2	China	販売数量（千台）	188	87	118	590
2022 Q2	China	販売金額（百万円）	3754	1593	2651	7393
2022 Q2	APAC ex-China	販売数量（千台）	49	29	58	400
2022 Q2	APAC ex-China	販売金額（百万円）	1098	596	1462	5624
2022 Q3	North America	販売数量（千台）	111	51	141	614
2022 Q3	North America	販売金額（百万円）	3118	1313	4456	10831
2022 Q3	Europe	販売数量（千台）	87	38	128	543
2022 Q3	Europe	販売金額（百万円）	2295	919	3799	8995
2022 Q3	China	販売数量（千台）	207	95	128	626
2022 Q3	China	販売金額（百万円）	4146	1744	2884	7874
2022 Q3	APAC ex-China	販売数量（千台）	53	29	61	427
2022 Q3	APAC ex-China	販売金額（百万円）	1191	597	1542	6026
2022 Q4	North America	販売数量（千台）	136	59	164	700
2022 Q4	North America	販売金額（百万円）	3831	1524	5198	12394
2022 Q4	Europe	販売数量（千台）	102	42	153	615
2022 Q4	Europe	販売金額（百万円）	2699	1019	4554	10226
2022 Q4	China	販売数量（千台）	249	118	168	713
2022 Q4	China	販売金額（百万円）	5002	2173	3797	9001
2022 Q4	APAC ex-China	販売数量（千台）	66	41	83	490
2022 Q4	APAC ex-China	販売金額（百万円）	1487	847	2104	6940
2023 Q1	North America	販売数量（千台）	110	49	142	531
2023 Q1	North America	販売金額（百万円）	3108	1269	4514	9437
2023 Q1	Europe	販売数量（千台）	84	40	129	483
2023 Q1	Europe	販売金額（百万円）	2229	973	3851	8061
2023 Q1	China	販売数量（千台）	199	105	132	536
